"bench","solver","instance","ert"
"rbv2_xgboost","RS",1457,4.84705882352941
"rbv2_xgboost","RS",1480,1
"rbv2_xgboost","SM",1480,49.8260869565217
"rbv2_xgboost","EA",1480,10144.9275362319
"rbv2_xgboost","OP",1480,10144.9275362319
"rbv2_xgboost","SM",6332,1
"rbv2_xgboost","RS",6332,220.663566868942
"rbv2_xgboost","EA",6332,220.663566868942
"rbv2_xgboost","OP",6332,220.663566868942
"rbv2_xgboost","SM",181,1
"rbv2_xgboost","EA",181,1.68759091417702
"rbv2_xgboost","OP",181,2.9265972921562
"rbv2_xgboost","RS",181,626.608481593376
"rbv2_xgboost","SM",1479,1
"rbv2_xgboost","EA",1479,1.07720872659756
"rbv2_xgboost","RS",1479,216.61766981278
"rbv2_xgboost","OP",1479,216.61766981278
"rbv2_xgboost","SM",40670,1
"rbv2_xgboost","RS",40670,222.275144875764
"rbv2_xgboost","EA",40670,222.275144875764
"rbv2_xgboost","OP",40670,222.275144875764
"rbv2_xgboost","SM",40536,1
"rbv2_xgboost","EA",40536,1.09210889177796
"rbv2_xgboost","RS",40536,220.620100066974
"rbv2_xgboost","OP",40536,220.620100066974
"rbv2_xgboost","OP",41138,1
"rbv2_xgboost","SM",41138,1.46333601933924
"rbv2_xgboost","EA",41138,2.01289282836422
"rbv2_xgboost","RS",41138,5.86946011281225
"rbv2_xgboost","OP",41166,1
"rbv2_xgboost","SM",41166,1.00714285714286
"rbv2_xgboost","EA",41166,1.10714285714286
"rbv2_xgboost","RS",41166,3.13571428571429
"rbv2_xgboost","SM",6,1
"rbv2_xgboost","OP",6,1.12230215827338
"rbv2_xgboost","EA",6,1.38129496402878
"rbv2_xgboost","RS",6,3.65467625899281
"rbv2_xgboost","SM",14,1
"rbv2_xgboost","EA",14,1.04838648801661
"rbv2_xgboost","RS",14,211.360634081902
"rbv2_xgboost","OP",14,211.360634081902
"rbv2_xgboost","SM",29,1
"rbv2_xgboost","RS",29,224.053772905497
"rbv2_xgboost","EA",29,224.053772905497
"rbv2_xgboost","OP",29,224.053772905497
"rbv2_xgboost","SM",458,1
"rbv2_xgboost","EA",458,1.15230940686011
"rbv2_xgboost","RS",458,231.147067321583
"rbv2_xgboost","OP",458,231.147067321583
"rbv2_xgboost","SM",1056,1
"rbv2_xgboost","RS",1056,226.518890057439
"rbv2_xgboost","EA",1056,226.518890057439
"rbv2_xgboost","OP",1056,226.518890057439
"rbv2_xgboost","SM",1462,1
"rbv2_xgboost","EA",1462,1.11374596468853
"rbv2_xgboost","RS",1462,223.187597146387
"rbv2_xgboost","OP",1462,223.187597146387
"rbv2_xgboost","SM",1494,1
"rbv2_xgboost","EA",1494,1.07087401030056
"rbv2_xgboost","RS",1494,215.235606118841
"rbv2_xgboost","OP",1494,215.235606118841
"rbv2_xgboost","SM",40701,1
"rbv2_xgboost","RS",40701,224.323025156225
"rbv2_xgboost","EA",40701,224.323025156225
"rbv2_xgboost","OP",40701,224.323025156225
"rbv2_xgboost","EA",12,1
"rbv2_xgboost","RS",12,230.225291892781
"rbv2_xgboost","OP",12,230.225291892781
"rbv2_xgboost","SM",12,230.225291892781
"rbv2_xgboost","OP",1493,1
"rbv2_xgboost","SM",1493,1.29245283018868
"rbv2_xgboost","EA",1493,1.58490566037736
"rbv2_xgboost","RS",1493,5.58490566037736
"rbv2_xgboost","SM",44,1
"rbv2_xgboost","RS",44,224.917664069403
"rbv2_xgboost","EA",44,224.917664069403
"rbv2_xgboost","OP",44,224.917664069403
"rbv2_xgboost","SM",307,1
"rbv2_xgboost","EA",307,1.00826169476387
"rbv2_xgboost","RS",307,208.403111160731
"rbv2_xgboost","OP",307,208.403111160731
"rbv2_xgboost","RS",334,1
"rbv2_xgboost","SM",334,1.47287844036697
"rbv2_xgboost","EA",334,321.100917431193
"rbv2_xgboost","OP",334,321.100917431193
"rbv2_xgboost","SM",40982,1
"rbv2_xgboost","RS",40982,219.650911943518
"rbv2_xgboost","EA",40982,219.650911943518
"rbv2_xgboost","OP",40982,219.650911943518
"rbv2_xgboost","SM",41142,1
"rbv2_xgboost","RS",41142,219.040913713526
"rbv2_xgboost","EA",41142,219.040913713526
"rbv2_xgboost","OP",41142,219.040913713526
"rbv2_xgboost","SM",38,1
"rbv2_xgboost","EA",38,1.08228692512949
"rbv2_xgboost","RS",38,219.745722806467
"rbv2_xgboost","OP",38,219.745722806467
