"bench","solver","instance","ert"
"rbv2_xgboost","SM",40670,1259.7
"rbv2_xgboost","RS",40536,280000
"rbv2_xgboost","EA",40536,1386.05
"rbv2_xgboost","OP",40536,280000
"rbv2_xgboost","SM",40536,1269.15
"rbv2_xgboost","RS",41138,364.2
"rbv2_xgboost","EA",41138,124.9
"rbv2_xgboost","OP",41138,62.05
"rbv2_xgboost","SM",41138,90.8
"rbv2_xgboost","RS",41166,21.95
"rbv2_xgboost","EA",41166,7.75
"rbv2_xgboost","OP",41166,7
"rbv2_xgboost","SM",41166,7.05
"rbv2_xgboost","RS",6,25.4
"rbv2_xgboost","EA",6,9.6
"rbv2_xgboost","OP",6,7.8
"rbv2_xgboost","SM",6,6.95
"rbv2_xgboost","RS",14,280000
"rbv2_xgboost","EA",14,1388.85
"rbv2_xgboost","OP",14,280000
"rbv2_xgboost","SM",14,1324.75
"rbv2_xgboost","RS",29,280000
"rbv2_xgboost","EA",29,280000
"rbv2_xgboost","OP",29,280000
"rbv2_xgboost","SM",29,1249.7
"rbv2_xgboost","RS",458,280000
"rbv2_xgboost","EA",458,1395.85
"rbv2_xgboost","OP",458,280000
"rbv2_xgboost","SM",458,1211.35
"rbv2_xgboost","RS",1056,280000
"rbv2_xgboost","EA",1056,280000
"rbv2_xgboost","OP",1056,280000
"rbv2_xgboost","SM",1056,1236.1
"rbv2_xgboost","RS",1462,280000
"rbv2_xgboost","EA",1462,1397.25
"rbv2_xgboost","OP",1462,280000
"rbv2_xgboost","SM",1462,1254.55
"rbv2_xgboost","RS",1494,280000
"rbv2_xgboost","EA",1494,1393.1
"rbv2_xgboost","OP",1494,280000
"rbv2_xgboost","SM",1494,1300.9
"rbv2_xgboost","RS",40701,280000
"rbv2_xgboost","EA",40701,280000
"rbv2_xgboost","OP",40701,280000
"rbv2_xgboost","SM",40701,1248.2
"rbv2_xgboost","RS",12,280000
"rbv2_xgboost","EA",12,1216.2
"rbv2_xgboost","OP",12,280000
"rbv2_xgboost","SM",12,280000
"rbv2_xgboost","RS",1493,29.6
"rbv2_xgboost","EA",1493,8.4
"rbv2_xgboost","OP",1493,5.3
"rbv2_xgboost","SM",1493,6.85
"rbv2_xgboost","RS",44,280000
"rbv2_xgboost","EA",44,280000
"rbv2_xgboost","OP",44,280000
"rbv2_xgboost","SM",44,1244.9
"rbv2_xgboost","RS",307,280000
"rbv2_xgboost","EA",307,1354.65
"rbv2_xgboost","OP",307,280000
"rbv2_xgboost","SM",307,1343.55
"rbv2_xgboost","RS",334,872
"rbv2_xgboost","EA",334,280000
"rbv2_xgboost","OP",334,280000
"rbv2_xgboost","SM",334,1284.35
"rbv2_xgboost","RS",40982,280000
"rbv2_xgboost","EA",40982,280000
"rbv2_xgboost","OP",40982,280000
"rbv2_xgboost","SM",40982,1274.75
"rbv2_xgboost","RS",41142,280000
"rbv2_xgboost","EA",41142,280000
"rbv2_xgboost","OP",41142,280000
"rbv2_xgboost","SM",41142,1278.3
"rbv2_xgboost","RS",38,280000
"rbv2_xgboost","EA",38,1379.05
"rbv2_xgboost","OP",38,280000
"rbv2_xgboost","SM",38,1274.2
"rbv2_xgboost","RS",1050,280000
"rbv2_xgboost","EA",1050,1374.85
"rbv2_xgboost","OP",1050,280000
"rbv2_xgboost","SM",1050,1325.1
"rbv2_xgboost","RS",469,280000
"rbv2_xgboost","EA",469,280000
"rbv2_xgboost","OP",469,280000
"rbv2_xgboost","SM",469,1181.7
"rbv2_xgboost","RS",23381,280000
"rbv2_xgboost","EA",23381,1384.7
"rbv2_xgboost","OP",23381,280000
"rbv2_xgboost","SM",23381,1302.35
"rbv2_xgboost","RS",41157,280000
"rbv2_xgboost","EA",41157,1358.15
"rbv2_xgboost","OP",41157,280000
"rbv2_xgboost","SM",41157,1365.8
"rbv2_xgboost","RS",15,280000
"rbv2_xgboost","EA",15,280000
"rbv2_xgboost","OP",15,280000
"rbv2_xgboost","SM",15,1284.5
"rbv2_xgboost","RS",4541,31.1
"rbv2_xgboost","EA",4541,9.35
"rbv2_xgboost","OP",4541,6.8
"rbv2_xgboost","SM",4541,7.45
"rbv2_xgboost","RS",23,280000
"rbv2_xgboost","EA",23,280000
"rbv2_xgboost","OP",23,280000
"rbv2_xgboost","SM",23,1235.35
"rbv2_xgboost","RS",4134,280000
"rbv2_xgboost","EA",4134,280000
"rbv2_xgboost","OP",4134,280000
"rbv2_xgboost","SM",4134,1204.35
"rbv2_xgboost","RS",40927,8.65
"rbv2_xgboost","EA",40927,2.15
"rbv2_xgboost","OP",40927,2
"rbv2_xgboost","SM",40927,1.75
"rbv2_xgboost","RS",40981,280000
"rbv2_xgboost","EA",40981,280000
"rbv2_xgboost","OP",40981,280000
"rbv2_xgboost","SM",40981,1243.35
"rbv2_xgboost","RS",41156,280000
"rbv2_xgboost","EA",41156,280000
"rbv2_xgboost","OP",41156,280000
"rbv2_xgboost","SM",41156,1259.3
